File,aid,Date,2,10,18,34,42,50,99,107,115,157
FparLai_QC_2002185_aid0001,aid0001,2002-07-04,24168180,2748772,1954823,3899007,147264,349812,1252231,188497,159875,1621981
FparLai_QC_2002193_aid0001,aid0001,2002-07-12,24819109,2506842,1527584,3450204,123164,203497,1522204,448891,266966,1621981
FparLai_QC_2002201_aid0001,aid0001,2002-07-20,24628201,2706764,1554191,3048228,122275,250146,1737973,477201,343482,1621981
FparLai_QC_2002209_aid0001,aid0001,2002-07-28,16491352,2790999,1298245,1313052,52065,90588,3234336,4926265,791583,1295663
FparLai_QC_2002217_aid0001,aid0001,2002-08-05,25784431,2088236,1174086,3750558,67569,186794,1480523,185473,150791,1621981
FparLai_QC_2002225_aid0001,aid0001,2002-08-13,25633194,2300862,1654858,3329666,102587,212343,1087060,345001,202890,1621981
FparLai_QC_2002233_aid0001,aid0001,2002-08-21,25868119,2076451,1714108,3514970,105470,224950,945697,232361,186335,1621981
FparLai_QC_2002241_aid0001,aid0001,2002-08-29,26373711,2039184,1499772,3832375,90036,240955,590978,129905,71545,1621981
FparLai_QC_2003153_aid0001,aid0001,2003-06-02,24040782,2930981,2156566,2632864,69461,92474,1977938,669655,297740,1621981
FparLai_QC_2003161_aid0001,aid0001,2003-06-10,23741821,3097765,1865160,1858724,81968,95643,1817881,1907496,402003,1621981
FparLai_QC_2003169_aid0001,aid0001,2003-06-18,25557545,1635461,1496965,4444260,73857,124747,1269762,179733,86131,1621981
FparLai_QC_2003177_aid0001,aid0001,2003-06-26,25804049,1853271,1368067,3246391,93368,154313,1662759,445229,241014,1621981
FparLai_QC_2003185_aid0001,aid0001,2003-07-04,25697869,1896516,1323366,2838739,111537,156385,2131440,448839,263770,1621981
FparLai_QC_2003193_aid0001,aid0001,2003-07-12,26692376,1399873,932056,3697795,107530,150870,1533799,217899,136263,1621981
FparLai_QC_2003201_aid0001,aid0001,2003-07-20,25795736,1877035,1075599,3334136,122977,170530,1867222,421270,203956,1621981
FparLai_QC_2003209_aid0001,aid0001,2003-07-28,24688013,2750204,1411085,2741236,130381,176183,2018497,641411,311451,1621981
FparLai_QC_2003217_aid0001,aid0001,2003-08-05,24494079,2979789,1383703,2378727,137456,174912,1620752,1298425,400618,1621981
FparLai_QC_2003225_aid0001,aid0001,2003-08-13,25628600,2344987,1413193,3986999,167595,309882,708498,181779,126928,1621981
FparLai_QC_2003233_aid0001,aid0001,2003-08-21,25509563,2430974,1396241,4472755,96668,303825,475880,119409,63146,1621981
FparLai_QC_2003241_aid0001,aid0001,2003-08-29,26299591,2443487,1418078,2702394,96676,132463,846407,775351,154014,1621981
FparLai_QC_2004153_aid0001,aid0001,2004-06-01,25838781,2210941,1656224,2604617,90490,106496,1905650,296214,159755,1621274
FparLai_QC_2004161_aid0001,aid0001,2004-06-09,23744240,2914120,1990745,2688550,100920,125920,2192514,737356,374803,1621274
FparLai_QC_2004169_aid0001,aid0001,2004-06-17,25063965,2276604,1699017,3131647,115700,133140,1880942,383159,184994,1621274
FparLai_QC_2004177_aid0001,aid0001,2004-06-25,23307611,3185991,1878943,2407742,117011,154606,2127241,1311829,378194,1621274
FparLai_QC_2004185_aid0001,aid0001,2004-07-03,25561676,1785038,1416168,2795828,111122,156674,2294629,514503,233530,1621274
FparLai_QC_2004193_aid0001,aid0001,2004-07-11,25633875,1731064,1267396,3364934,126671,207642,1687766,600289,249531,1621274
FparLai_QC_2004201_aid0001,aid0001,2004-07-19,24476522,2176083,1582201,3378037,172255,332374,1941660,501023,309013,1621274
FparLai_QC_2004209_aid0001,aid0001,2004-07-27,25594261,1825484,1363252,3684266,124399,193123,1607413,286176,190794,1621274
FparLai_QC_2004217_aid0001,aid0001,2004-08-04,25975776,1734412,1185833,3639609,102025,130979,1605101,351269,144164,1621274
FparLai_QC_2004225_aid0001,aid0001,2004-08-12,25026937,2396845,1471829,3377886,95912,145568,1500436,591315,262440,1621274
FparLai_QC_2004233_aid0001,aid0001,2004-08-20,24501050,2865098,1932280,3278440,97471,135336,1195283,678189,186021,1621274
FparLai_QC_2004241_aid0001,aid0001,2004-08-28,26687979,1882985,1445996,3278041,114144,163519,853509,310973,132022,1621274
FparLai_QC_2005153_aid0001,aid0001,2005-06-02,23798077,2916452,2194784,2666758,123306,170858,1749734,925909,323290,1621274
FparLai_QC_2005161_aid0001,aid0001,2005-06-10,25203258,1818084,1609331,2419606,116726,154689,2170694,993976,382804,1621274
FparLai_QC_2005169_aid0001,aid0001,2005-06-18,26569256,1117480,1079260,4006373,94088,198802,1412798,214223,176888,1621274
FparLai_QC_2005177_aid0001,aid0001,2005-06-26,25107489,1937119,1572530,3269252,135950,275419,1794952,441502,334955,1621274
FparLai_QC_2005185_aid0001,aid0001,2005-07-04,25956845,1603315,1211289,3036254,92171,143466,2143442,439192,243194,1621274
FparLai_QC_2005193_aid0001,aid0001,2005-07-12,24239698,2546193,1598502,2878610,143579,227256,1961222,881957,392151,1621274
FparLai_QC_2005201_aid0001,aid0001,2005-07-20,25869849,1477169,1163578,4276814,99070,253720,1509731,94474,124763,1621274
FparLai_QC_2005209_aid0001,aid0001,2005-07-28,25900178,1618906,1037455,4311994,98864,215447,1289263,216596,180465,1621274
FparLai_QC_2005217_aid0001,aid0001,2005-08-05,24623967,2471713,1762513,3892313,114597,240710,1198995,365915,198445,1621274
FparLai_QC_2005225_aid0001,aid0001,2005-08-13,25674701,1888812,1749938,3763837,121980,239660,1123049,173565,133626,1621274
FparLai_QC_2005233_aid0001,aid0001,2005-08-21,26751423,1536231,1313181,3842733,112014,192064,932390,111091,78041,1621274
FparLai_QC_2005241_aid0001,aid0001,2005-08-29,27994295,1031432,953613,3974303,73372,125457,608205,70687,37804,1621274
FparLai_QC_2006153_aid0001,aid0001,2006-06-02,26101523,1777624,1215855,3084038,70132,100948,1438497,897267,183284,1621274
FparLai_QC_2006161_aid0001,aid0001,2006-06-10,26106068,1595256,1293649,3646024,68749,112438,1482910,418312,145762,1621274
FparLai_QC_2006169_aid0001,aid0001,2006-06-18,25963204,1823342,1359856,3213482,108248,213043,1680255,277590,230148,1621274
